source,target
ತಾರಾಹಾರ,ಮುತ್ತಿನ ಹಾರ
ತಾರುಣ್ಯ,ಹರಯ
ತಾರೆ,ನಕ್ಷತ್ರ ಕಣ್ಣು ಮುತ್ತು
ತಾರೆಲೆ,ಜನಸಾಮಾನ್ಯರ ಒಂದು ಹಾಡು
ತಾರೇಶ,ಚಂದ್ರ
ತಾರ್ಕಿಕ,ತರ್ಕಶಾಸ್ತ್ರಜ್ಞ
ತಾಕ್ಷ್ಮರ್ಯ,ಹದ್ದು ಗರುಡ
ತಾಕ್ಷ್ಮರ್ಯಸ್ಥ,ಗರುಡನ ಮೇಲೆ ಕುಳಿತವನು ವಿಷ್ಣು
ತಾರ್ಕ್ಷ್ಯೇಷು,ಗರುಡಾಸ್ತ್ರ
ತಾಣ್,ತೃಣಕ್ಕೆ ಸಂಬಂಧಿಸಿದ
ತಾರ್ಮುಟ್ಟು,ಸೋಂಕು ಅಪ್ಪಳಿಸು
ತಾಲನಂದನ,ತಾಳೆಮರಗಳ ಗುಂಪು
ತಾಲವನ,ತಾಲನಂದನ
ತಾಳವೃಂತ,ಬೀಸಣಿಗೆ
ತಾಲವೃಂತ,ಬೀಸಣಿಗೆ
ತಾಲುಗೆ,ಗಂಟಲು
ತಾವಡಿ,ಅಲೆತ ಆಯಾಸ
ತಾವಡಿಗೊಳ್,ಆಯಾಸಗೊಳ್ಳು
ತಾವರೆದಂಟು,ತಾವರೆಯ ಕಾಂಡ
ತಾವರೆನೂಲ್,ತಾವರೆಯ ನಾರು
ತಾವರೆಯರಲ್,ತಾವರೆಯ ಹೂ
ತಾವರೆವಂಡು,ತಾವರೆ ಬಂಡು ತಾವರೆಯ ಮಕರಂದ
ತಾವರೆಯವಗೆ,ತಾವರೆಯ ಶತ್ರು ಚಂದ್ರ
ತಾವರೆವಗೆ,ತಾವರೆಯ ಶತ್ರು ಚಂದ್ರ
ತಾವರೆವಳ್ಳಿ,ತಾವರೆಯ ಬಳ್ಳಿ
ತಾವರೆವೂ,ತಾವರೆಯ ಹೂ
ತಾಳ್,ಧರಿಸು ಹೊಂದು ಸಹಿಸು ಗಂಟಲು
ತಾಳ,ತಾಳೆಯ ಗರಿ
ತಾಳಧ್ವಜ,ಭೀಷ್ಮ
ತಾಳನಿವರ್ತನ,ತಾಳವನ್ನು ಹಿಡಿಯುವುದು
ತಾಳನಿವರ್ತನೆ,ತಾಳವನ್ನು ಹಿಡಿಯುವುದು
ತಾಳಪತಾಕ,ಬಲದೇವ
ತಾಳಲಕ್ಷ್ಮಮ,ತಾಳದ ಲಾಂಛನವುಳ್ಳವನು ಬಲರಾಮ
ತಾಳವಟ್ಟ,ತಾಳವೃಂತ ತಾಳೆ ಗರಿಯ ಬೀಸಣಿಗೆ
ತಾಳಿಗಟ್ಟು,ಮಂಗಳಸೂತ್ರವನ್ನು ಕಟ್ಟು
ತಾಳೀತರು,ತಾಳೆಮರ
ತಾಳುಂತಟ್ಟುಂ,ಚೆಲ್ಲಾಪಿಲ್ಲಿಯಾಗು
ತಾಳುತಳ,ಅಂಗುಳ ತಳಭಾಗ
ತಾಳೆದನಿ,ತಾಳೆಗರಿಗಳ ಸರಸರ ಶಬ್ದ
ತಾಳೋದ್ಘಾಟಿನಿ,ಬೀಗ ತೆಗೆಯುವುದು ಒಂದು ಕಳ್ಳತನದ ವಿದ್ಯೆ
ತಾಳೋಲೆ,ತಾಳೆಗರಿಯ ಓಲೆ
ತಾಳ್ದು,ಧರಿಸು ಹೊಂದು ಸಹಿಸು
ತಾಱಲ್,ಒಣಕಲು ಪೊದೆ
ತಾಱಿ,ಅಳಲೆ
ತಾಱಿಗಬೀಱಿಗ,ಅಸ್ತವ್ಯಸ್ತ
ತಾಱು,ಕೃಶವಾಗು ಒಣಗು
ತಾಱುಂತಟ್ಟುಂ,ತಾಳುಂತಟ್ಟುಂ
ತಾಱುಂಬೞಿಗೊಳ್,ಇಡಿಕಿರಿ
ತಾಱುಂಬೞಿಯಂ,ತಾಱುಂಬೞಿ
ತಾೞೆ,ಕೇದಗೆ
ತಾೞ್ಗಳ್,ತಾಳೆಯ ಮರಗಳು
ತಿಂಗಳ್,ಚಂದ್ರ ವರ್ಷದ ಹನ್ನೆರಡನೇ ಒಂದು ಭಾಗ ಬೆಳುದಿಂಗಳು
ತಿಂಗುಱಿ,ತಿನ್ನಲು ಸಾಕಿದ ಕುರಿ
ತಿಂತಿಣಿ,ಸಮೂಹ ಗುಂಪು
ತಿಂತಿಣಿವಣ್,ಗೊಂಚಲುಗೊಂಚಲಾಗಿ(ಒತ್ತಾಗಿ) ಬಿಟ್ಟ ಹಣ್ಣು
ತಿಂತಿಣಿಸು,ತಿಂತಿಣಿವಡೆ
ತಿಂತ್ರಿಣಿ,ಹುಣಸೆ ಮರ
ತಿಂಬಡ,ತಿನ್ನುವ ಪದಾರ್ಥ
ತಿಗಟ,ಉದ್ದ
ತಿಗುಡು,ಮರದ ತೊಗಟೆ
ತಿಗುಣ,ತ್ರಿಗುಣ ಮೂರು ಪಟ್ಟು
ತಿಗುಣಿಸು,ಮೂರು ಪಟ್ಟಾಗು
ತಿಗುರಿ,ಚಕ್ರ ಸುಳಿ
ತಿಗುರಿದಿರುಪು,ಜೋರಾಗಿ ತಿರುಗಿಸು
ತಿಗುಳನಾಡು,ತಮಿಳುದೇಶ
ತಿಗ್ಮಕರ,ಪ್ರಖರ ಕಿರಣಗಳುಳ್ಳವನು ಸೂರ್ಯ
ತಿಗ್ಮಪ್ರಭೆ,ಪ್ರಖರ ಕಾಂತಿ
ತಿಗ್ಮಮರೀಚಿ,ತಿಗ್ಮಕರ
ತಿಗ್ಮರುಙ್ಮಾಲಿ,ತಿಗ್ಮರುಕ್ ಮಾಲಿ ಪ್ರಖರಕಿರಣಗಳ ಮಾಲೆಯುಳ್ಳವನು ಸೂರ್ಯ
ತಿಗ್ಮಾಂಶು,ಸೂರ್ಯ
ತಿಟ್ಟಮಿಡು,ಚಿತ್ರ ಬರೆಯಲು ತೊಡಗು
ತಿಣುಕು,ಮುಲುಕು ಹೆಣಗಾಟ ಹೂಸುಬಿಡು
ತಿಣ್ಣ,ತೀಕ್ಷ್ಣ ಭಾರ
ತಿಣ್ಣಂ,ತೀಕ್ಷ್ಣವಾಗಿ ನಿಬಿಡವಾಗಿ
ತಿಣ್ಣಮಿಡು,ಬಲವಾಗಿ ಹೊಡೆ
ತಿಣ್ಪು,ಅತಿಶಯತೆ ದಾರ್ಢ್ಯ
ತಿತಿಕ್ಷಾನ್ವಿತ,ಸಹನೆಯ ಗುಣದವನು
ತಿತ್ತಿರಿಗಾಳೆ,ಒಂದು ಬಗೆಯ ಕಹಳೆ
ತಿದಿ,ಚರ್ಮ ಬೆಂಕಿಗೆ ಗಾಳಿಯೂದುವ ಸಾಧನ
ತಿದಿಯುಗಿ,ಚ ರ್ಮವನ್ನು ಸುಲಿ
ತಿನ್,ಸೇವಿಸು
ತಿನಿಸು,ತಿನ್ನುವ ಪದಾರ್ಥ
ತಿಪ್ಪೆ,ಕಸದ ರಾಶಿ
ತಿಬ್ಬಂ,ಶೀಘ್ರವಾಗಿ
ತಿಬ್ಬಂಮಾಡು,ತೀವ್ರಗೊಳಿಸು
ತಿಮಿರ್,ತಿಕ್ಕು ಲೇಪಿಸು ಪರಿಮಳದ್ರವ್ಯ
ತಿಮಿರ,ಕತ್ತಲೆ ಕಣ್ಣಿನ ಒಂದು ರೋಗ ಪೊರೆ
ತಿಮಿರು,ಲೇಪನ
ತಿರ,ಸ್ಥಿರ ಶಾಶ್ವತ
ತಿರಸ್ಕರಣ,ತಾತ್ಸಾರ
ತಿರಸ್ಕರಿಸು,ಕಡೆಗಣಿಸು
ತಿರಿ,ಅಲೆದಾಡು ಚಲಿಸು ಭಿಕ್ಷೆ ಬೇಡು
ತಿರಿದಾಡು,ಅಲೆದಾಡು
ತಿರಿದುಣ್,ಭಿಕ್ಷೆ ಎತ್ತಿ ತಿನ್ನು
ತಿರಿಕ,ಅಲೆದಾಡುವವನು ಭಿಕ್ಷುಕ
ತಿರುಕ,ಅಲೆದಾಡುವವನು ಭಿಕ್ಷುಕ
ತಿರಿಕೊಱೆಗೊಳ್,ಭಿಕ್ಷೆ ಬೇಡು
ತಿರಿಗುತ್ತ,ಭಿಕ್ಷೆ ಬೇಡುವ ಕಷ್ಟ
ತಿರಿತರ್,ಅಲೆದಡು
ತಿರಿಪು,ತಿರುಗಿಸು ಅಲೆದಾಡಿಸು
ತಿರೀಟ,ಕಿರೀಟ
ತಿರು,ಬಿಲ್ಲಿನ ಹಗ್ಗ (ಶ್ರೀ)ಶ್ರೇಷ್ಠ
ತಿರುಗೊಲೆ,ಬಿಲ್ಲಿನ ಕೊಪ್ಪು
ತಿರುವಾಯ್,ಹೆದೆಯ ಮಧ್ಯ
ತಿರುವು,ಬಿಲ್ಲಿನ ಹೆದೆ
ತಿರುವುವೊಯ್,ಹೆದೆಯಿಮದ ಠೇಂಕಾರಮಾಡು
ತಿರುಳ್,ಸಾರ
ತಿರುಳೆಲೆ,ಎಲೆಯ ಸುಳಿ
ತಿರೋಧಾನ,ಮರೆಯಾಗುವುದು ಅಂತರ್ಧಾನ
ತಿರೋಹಿತ,ಮರೆಯಾದ(ವನು)
ತಿರೋಹಿತವೇಷ,ವೇಷ ಮರೆಸಿಕೊಂಡವನು
ತಿರ್ದು,ಸರಿಪಡಿಸು ತಿದ್ದುವಿಕೆ
ತಿರ್ದುವರ್,ಸಮಂಜಸವಾಗು
ತಿರ್ದುಹ,ಸರಿಗೊಳಿಸುವಿಕೆ
ತಿರ್ಯಗ್ಗತಿ,ಜೈನರ ಚತುರ್ಗತಿಗಳಲ್ಲಿ ಒಂದು ಪಶುಪ್ರಾಣಿಗಳ ಗುಂಪು
ತಿರ್ಯಗ್ಜಾತಿ,ಪಶುಪ್ರಾಣಿಗಳ ಜಾತಿ
ತಿರ್ಯಗ್ಜೀವ,ಪಶುಪ್ರಾಣಿಗಳು
ತಿರ್ಯಗ್ಡೀನ,ಅಡ್ಡಡ್ಡಲಾಗಿ ನಡೆದಾಡುವುದು
ತಿರ್ಯಗ್ಲೋಕ,ಪಶುಪ್ರಾಣಿಗಳಿರುವ ಭೂಲೋಕ
ತಿರ್ಯಗ್ವರ್ತಿತ,ಅಡ್ಡಡ್ಡಲಾಗಿ ಓಡಾಡುವ
ತಿರ್ಯಗ್ವಳಿತ,ಅಡ್ಡಲಾಗಿ ಬಾಗಿಸಿದ
ತಿಲಕ,ಸುಂದರವಾದ ಹೂಬಿಡುವ ಒಂದು ಮರ ಹಣೆಯ ಮೇಲಿನ ಬೊಟ್ಟು
ತಿಲಕಿತ,ತಿಲಕವಿರುವ ತಿಲಕಪ್ರಾಯನಾದ
ತಿಲಕಿಸು,ತಿಲಕವನ್ನಿಡು
ತಿಲಕೋಪಶೋಭಿ,ತಿಲಕದ ಮರಗಳಿಂದ(ಹಣೆಯ ತಿಲಕದಿಂದ) ಶೋಭಿಸುವ
ತಿಲಜ,ಎಳ್ಳಿನಿಂದ ಉಂಟಾದುದು ಎಣ್ಣೆ
ತಿಲ್ವಕ,ಬಿಳಿ ಸಾಂಬ್ರಾಣಿಯ ಮರ
ತಿವಳಿ,ಸ್ತ್ರೀಯ ಹೊಕ್ಕುಳಿನ ಮೇಲಿರುವ ಮೂರು ಮಡಿಕೆಗಳು ಒಂದು ಬಗೆಯ ವಾದ್ಯ
ತಿವಿ,ಗುದ್ದು ಮುಷ್ಟಿಪ್ರಹಾರ ಮಾಡು
ತಿವುರಾಂತಕ,ತ್ರಿಪುರಾಂತಕ
ತಿವುರು,ಲೇಪ
ತಿಸರ,ತ್ರಿಸರ ಮೂರೆಳೆಯ ಸರ
ತಿಸರಿ,ಒಂದು ತಂತಿವಾದ್ಯ
ತಿಸುಳ,ತ್ರಿಶೂಲ
ತಿಳಿ,ಬಗ್ಗಡ ಹೋಗಿ ಶುದ್ಧವಾಗು ನೈರ್ಮಲ್ಯ
ತಿಳಿನೀರ್,ಶುದ್ಧವಾದ ನೀರು
ತಿಳಿವಳಿಕೆ,ಅರಿವು
ತಿಳಿವು,ತಿಳಿವಳಿಕೆ
ತಿಱಿಕೊಱೆ,ತಿರಿದು ತಿನ್ನುವವನು ಕಾಳನ್ನು ಆಯ್ದುಕೊಂಡು ಜೀವಿಸುವವನು
ತಿಱುನೀರ್,ಸತ್ತವರಿಗಾಗಿ ಕೊಡುವ ನೀರು ತರ್ಪಣ
ತಿಱುನೀರಿಕ್ಕು,ತಿಱುನೀರನ್ನು ಕೊಡು
ತೀಂಟೆ,ತೀಟೆ ನವೆ
ತೀಂಟೆತ್ತು,ನವೆಯಾಗು
ತೀಕ್ಷ್ಣ,ಹರಿತವಾದ ಗಾಢವಾದ
ತೀಕ್ಷ್ಣಾಪಾಂಗ,ಹರಿತವಾದ ಕುಡಿನೋಟ
ತೀಟ,ತಿಡುವಿಕೆ ಸ್ಪರ್ಶ
ತೀಡು,ಉಜ್ಜು ನವೆಯಾಗು
ತೀನ್,ನವೆ ಕಡಿತ ತಿನಿಸು
ತಿಂಡಿತೀನ್ಮಸೆ,ನವೆ ಜಾಸ್ತಿಯಾಗು
ತೀಯಕಾರ್ತಿ,ತೀಟೆಯಿರುವವಳು ಬೆದೆ ಬಂದವಳು
ತೀರ,ದಡ
ತೀರಂಬಿಡಿ,ದಡವನ್ನು ಅನುಸರಿಸು
ತೀರಸ್ಥ,ದಡದಲ್ಲಿರುವ
ತೀರಮೆ,ಸಾಕಾಗುವುದು
ತೀರ್ಚು,ಮುಗಿಸು ಕೊನೆಗೊಳಿಸು
ತೀರ್ಥಂಕರ,ಜೈನ ಅರ್ಹಂತ
ತೀರ್ಥಕರ,ಜೈನ ಅರ್ಹಂತ
ತೀರ್ಥಕರತ್ವ,ಜೈನ ತೀರ್ಥಂಕರನ ಪದವಿ
ತೀರ್ಥನಾಥ,ತೀರ್ಥಂಕರ
ತೀರ್ಥಪ್ರವರ್ತಕ,ತೀರ್ಥಂಕರ
ತೀರ್ಥಯಾನ,ತೀರ್ಥಯಾತ್ರೆ
ತೀರ್ಥಾಂಬು,ತೀರ್ಥಜಲ
ತೀರ್ಥಾಖ್ಯಾನ,ಧರ್ಮಜಿಜ್ಞಾಸೆ
ತೀರ್ಥಾಧಿನಾಥ,ತೀರ್ಥಂಕರ
ತೀರ್ಥೇಶ,ತೀರ್ಥಂಕರ
ತೀರ್ಥೋದಕ,ತೀರ್ಥಜಲ
ತೀರ್ಥೋಪವಾಸ,ಪುಣ್ಯಕ್ಷೇತ್ರದಲ್ಲಿ ಮಾಡುವ ಉಪವಾಸತೀವಿಸು ತುಂಬಿಸು
ತೀವ್ರ,ಹರಿತವಾದ ಗಾಢವಾದ
ತೀವ್ರಾಂಶು,ಸೂರ್ಯ
ತುಂಗಘೋಣ,ಉದ್ದ ಮೂಗು(ಳ್ಳವನು)
ತುಂಗತೆ,ಹಿರಿಮೆ
ತುಂಡ,ಮುಖ ಕೊಕ್ಕು
ತುಂತು,ತುರುಕು
ತುಂದಿಲ,ತುಂಬಿದ
ತುಂಬ,ಹೆಚ್ಚು ಬಹಳ
ತುಂಬಕಿ,ಕೆನ್ನೆಯೂದಿಸಿಕೊಂಡು ಹಾಡುವ ದೋಷ
ತುಂಬಿ,ದುಂಬಿ ಭ್ರಮರ ತಂಬೂರಿಯ ಬುರುಡೆ
ತುಂಬಿಗುರುಳ್,ದುಂಬಿಯಂತೆ ಕಪ್ಪಾದ ಕೂದಲು
ತುಂಬುರಗೊಳ್ಳಿ,ತೂಬರೆ ಮರದ ಕೊಳ್ಳಿ
ತುಂಬುರಕೊಳ್ಳಿ,ತೂಬರೆ ಮರದ ಕೊಳ್ಳಿ
ತುಂಬುವೆಱೆ,ತುಂಬಿದ ಚಂದ್ರ
ತುಟಿತ,ಜೈನರ ಬಹು ದೊಡ್ಡ ಕಾಲಪ್ರಮಾಣ
ತುಟ್ಟಿಸು,ಬಲಗುಂದು
ತುಡುಕು,ಹಿಡಿದುಕೋ ತುಂಬು ವಾದ್ಯ ಬಾಜನೆಯ ಒಂದು ಬಗೆ
ತುಡುಂಕು,ಹಿಡಿದುಕೋ ತುಂಬು ವಾದ್ಯ ಬಾಜನೆಯ ಒಂದು ಬಗೆ
ತುಡುಗಣಿ,ತೊಂಡು
ತುಡುಗು,ಕಳ್ಳತನ
ತುಡುಗೆ,ಆಭರಣ
ತುಡುಜೊಡರ್,ಉರಿಯುವ ಸೊಡರು
ತುಣವ,ಜಂಖಾ ಎಂಬ ವಾದ್ಯ
ತುತಿ,ಸ್ತುತಿ ಹೊಗಳಿಕೆ
ತುತ್ತು,ತಿನ್ನು ಒಂದು ಸಲ ಬಾಯಲ್ಲಿ ತುಂಬುವಷ್ಟು
ತುದಿ,ಮೇಲ್ಭಾಗ
ತುದಿನಾಲಗೆ,ನಾಲಗೆ ತುದಿ
ತುಪ್ಪ,ಘೃತ
ತುಪ್ಪೇಱು,ಜಿಡ್ಡಾಗು
ತುಬ್ಬು,ಕಳ್ಳನನ್ನು ಪತ್ತೆಮಾಡು ಸಿಕ್ಕಿಬಿಡು ಸೂಚಿಸು
ತುಮುಳಕೇಳಿ,ಗದ್ದಲದಿಂದ ಕೂಡಿದ ಆಟ
ತುಮುಲಕೇಳಿ,ಗದ್ದಲದಿಂದ ಕೂಡಿದ ಆಟ
ತುಯ್ಯಲ್,ಪಾಯಸ
ತುರಂಮ,ಕುದುರೆ
ತುರಂಗ,ಕುದುರೆ
ತುರಂಗವಾಹಳಿ,ಕುದುರೆಯ ಸಾಲು
ತುರಂಗಸಾಧನ,ತುರಂಗದಳ
ತುರಂಗಿ,ಕುದುರೆ ಸವಾರ
ತುರಗ,ಕುದುರೆ
ತುರಗದ¿,ತುರಂಗದಳ
ತುರಗರತ್ನ,ಜೈನ ಜೀವರತ್ನಗಳಲ್ಲಿ ಒಂದು
ತುರಗಾರೂಢ,ಕುದುರೆ ಸವಾರ
ತುರಗಾರೋಣ,ಕುದುರೆ ಸವಾರಿ
ತುರಗಾರೋಹ,ಕುದುರೆ ಸವಾರಿ
ತುರಗಾಶ್ವ,ವೇಗವಾಗಿ ಓಡುವ ಕುದುರೆ
ತುರಗಾಸ್ಯ,ಕಿನ್ನರ ಅಶ್ವಿನಿ ನಕ್ಷತ್ರ
ತುರಾಷಾಟ್ಖಡ್ಗ,ವಜ್ರಾಯುಧ
ತುರಿತ,ತ್ವರಿತ ಬೇಗ
ತುರಿಪ,ತುರಿತ
ತುರಿಪಂಗೆಯ್,ಆತುರಗೊಳ್ಳು
ತುರಿಪಕಾಱ,ಆತುರಗಾರ
ತುರೀಯಾವಸ್ಥೆ,ನಾಲ್ಕನೆಯ ಅವಸ್ಥೆ
ತುರುಪಟ್ಟಿ,ಗೊಲ್ಲರ ಹಟ್ಟಿ
ತುರುಷ್ಕ,ಒಂದು ದೇಶ ಸಾಂಬ್ರಾಣಿ ಮರ
ತುಲನ,ತೂಕಮಾಡುವುದು
ತುಲಾದಂಡ,ತಕ್ಕಡಿಯ ದಂಡ
ತುಷಾರಪುಂಜ,ಮಂಜಿನ ರಾಶಿ
ತುಷಾರವರ್ಷ,ಮಂಜಿನ ಮಳೆ
ತುಷ್ಟ,ತೃಪ್ತಿಗೊಂಡ
ತುಷ್ಟಿ,ತೃಪ್ತಿ
ತುಹಿನ,ಹಿಮ
ತುಹಿನಕಣ,ಹಿಮಬಿಂದು
ತುಹಿನಕರ,ಚಂದ್ರ
ತುಹಿನಕ್ಷಾö್ಮಧರ,ತುಹಿನಕ್ಷೋಣೀಭ್ರ
ತುಹಿನಗಿರಿ,ತುಹಿನಕ್ಷೋಣೀಭ್ರ
ತುಹಿನಗು,ತುಹಿನಕರ
ತುಹಿನಭೂಮೀಧ್ರ,ತುಹಿನಕ್ಷೋಣೀಭ್ರ
ತುಹಿನಮಹೀಧರ,ತುಹಿನಕ್ಷೋಣೀಭ್ರ
ತುಹಿನಾಂಶುಮಂಡಲ,ತುಹಿನಾಂಶುಬಿಂಬ
ತುಹಿನಾಚಲ,ತುಹಿನಕ್ಷೋಣೀಭ್ರ
ತುಹಿನಾದ್ರಿ,ತುಹಿನಕ್ಷೋಣೀಭ್ರ
ತುಹಿನೋದ್ಗತಿ,ಶೈತ್ಯದ ಹೆಚ್ಚಳ
ತುಳಾಡಿ,ಮಲ್ಲಯುದ್ಧದ ಒಂದು ವರಸೆ
ತುಳುಂಕಾಡು,ಹೊರಹೊಮ್ಮು
ತುಳುಂಕು,ಹೊರಚೆಲ್ಲು ಚಿಮುಕಿಸು
ತುಳುಂಕುಗುಟ್ಟು,ಹೆಚ್ಚಾಗಿ ತುಳುಕಾಡು
ತುಳುನಾಡು,ಒಂದು ದೇಶ
ತುಱಿಪ,ವೇಗ
ತುಱಿಪಗಾರ್ತಿ,ಕಾಮಾತುರ(ರೆ)
ತುಱಿಪಗಾಱ,ಕಾಮಾತುರ(ರೆ)
ತುಱಿಸು,ಕೆರೆದುಕೊ
ತುಱು,ಹಸು
ತುಱುಕಾರ,ಹಸು ಕಾಯುವವನು
ತುಱುಗಾರ,ಹಸು ಕಾಯುವವನು
ತುಱುಕಾರ್ತಿ,ಗೊಲ್ಲ ಹೆಂಗಸು
ತುಱುಂಗಲ್,ಗುಂಪು ಗೊಂಚಲು
ತುಱುಗಲ್,ಗುಂಪು ಗೊಂಚಲು
ತುಱುಂಬು,ಮುಡಿದುಕೊ ಕೂದಲ ಮುಡಿ
ತುಱುಬು,ಮುಡಿದುಕೊ ಕೂದಲ ಮುಡಿ
ತುಱುಕು,ಒತ್ತಾಗಿ ಸೇರಿಸು
ತುಱುಗಲ್ಗೊನೆವಣ್,ಇಡಿಕಿರಿದ ಗೊನೆಯ ಹಣ್ಣು
ತುಱುಗಾ,ದನಗಳನ್ನು ಕಾಪಾಡು
ತುಱುಗಾರ್ತಿ,ಗೊಲ್ಲ ಹೆಂಗಸು
ತುಱುಗಾಱ,ಗೊಲ್ಲ
ತುಱುಗು,ಒತ್ತಾಗಿ ಸೇರು
ತುಱುಗೆವೆ,ಒತ್ತಾದ ಕೂದಲಿನ ರೆಪ್ಪೆ
ತುಱುಗೆಮೆ,ಒತ್ತಾದ ಕೂದಲಿನ ರೆಪ್ಪೆ
ತುಱುಗೆವೆಗಣ್,ದಟ್ಟ ಕೂದಲ ರೆಪ್ಪೆಯುಳ್ಳ ಕಣ್ಣು
ತುಱುಗೆಮೆಗಣ್,ದಟ್ಟ ಕೂದಲ ರೆಪ್ಪೆಯುಳ್ಳ ಕಣ್ಣು
ತುಱುಗೊಳ್,ದನಗಳನ್ನು ಹಿಡಿ
ತುಱುಗೋಳ್,ಗೋಗ್ರಹಣ ದನಗಳನ್ನು ಕದ್ದೊಯ್ಯುವಾಗ ಮಾಡುವ ಹೋರಾಟ
ತುಱುನೆಲೆ,ದನಗಳ ಕೊಟ್ಟಿಗೆ
ತುಱುಪಟ್ಟಿ,ದನಗಳ ಹಟ್ಟಿ ಗೊಲ್ಲರ ಹಟ್ಟಿ
ತುಱುಪಳ್ಳಿ,ಗೊಲ್ಲರ ಹಳ್ಳಿ
ತುಱುವಳ್ಳಿ,ಗೊಲ್ಲರ ಹಳ್ಳಿ
ತುಱುವೆ,ಒಂದು ಹೂವಿನ ಗಿಡ
ತುೞಿ,ಕಾಲಿಂದ ಮೆಟ್ಟು ನಾಶಪಡಿಸು ತುಳಿತ
ತುೞಿಕಲ್,ಬಾಡಿಹೋಗುವುದು
ತುೞಿಯಿಸು,ತುಳಿಯುವಂತೆ ಮಾಡು
ತುೞಿಲ್,ಶೌರ್ಯ ನಮಸ್ಕಾರ
ತುೞಿಲಸಂದ,ವೀರ ಪಂಚಮವರ್ಣದವನು
ತುೞಿಲಾಳ್,ಪರಾಕ್ರಮಿ
ತುೞಿಲಾಳಾಯ್ತ,ವೀರವೃತ್ತಿ
ತುೞಿಲಾಳ್ತನ,ಶೌರ್ಯ
ತುೞೀಲ್ಸಂದ,ವೀರ ಪಂಚಮ
ತುೞಿವು,ತುಳಿಯುವಿಕೆ
ತೂಂಕಂಗೊಳ್,ಮೂರ್ಛೆ ಹೋಗು
ತೂಂಕಡಂಗಾಣ್,ತೂಕಡಿಸು
ತೂಂಕಡು,ನಿದ್ದೆ
ತೂಂಕು,ತೂಗು ಜೋಲುಬೀಳು
ತೂಂತಿಡು,ತೂತು ಮಾಡು ತುಂಬು
ತೂಂತುವೋಗು,ತೂತುಬೀಳು
ತೂಂಬು,ನೀರು ಹೋಗಲು ಇರುವ ತೂಬು
ತೂಂಬುರ್ಚು,ತೂಬು ತೆಗೆ
ತೂಕ,ಭಾರ
ತೂಕರಿಸು,ದೃಷ್ಟಿ ತೆಗೆಯಲು ಊದುವುದು
ತೂಗಿ ತೊನೆ,ತೂಗಾಡು
ತೂಗಿಸು,ತೂಕ ಮಾಡಿಸು
ತುಗುಂಗೊಂಬು,ತೂಗಾಡುವ ಕೊಂಬೆ
ತೂಗುಂಜೊಡರ್,ತೂಗುಹಾಕಿರುವ ಸೊಡರು
ತೂಗುಂದಲೆ,ತೊನೆದಾಡುವ ತಲೆ
ತೂಗುಮಂಚ,ಉಯ್ಯಾಲೆ ಮಂಚ
ತೂಣೀರ,ಬತ್ತಳಿಕೆ
ತೂನ್,ಜಗ್ಗು ಹಿಡಿದು ಎಳೆ
ತೂಪಿಱಿ,ದೃಷ್ಟಿ ತೆಗೆಯಲು ಉಫ್ ಎಂದು ಊದು
ತೂರ್ಣ,ತ್ವರಿತ
ತೂರ್ಪನಿ,ತುಂತುರು ಹನಿ
ತೂರ್ಯ,ವಾದ್ಯ ನಾಲ್ಕನೆಯ
ವಾದ್ಯ,ಇವುಗಳ ಮೇಳ
ತೂರ್ಯತ್ರಿತಯ,ತೂರ್ಯತ್ರಿಕ
ತೂರ್ಯನಾದ,ಕಹಳೆಯ ಧ್ವನಿ
ತೂರ್ಯನಿನದ,ತೂರ್ಯನಾದ
ತೂರ್ಯರವ,ತೂರ್ಯನಾದ
ತೂರ್ಯಸ್ವರ,ತೂರ್ಯನಾದ
ತೂರ್ಯಾಂಗ,ತೂರ್ಯಕ್ಷ್ಮಾಜ
ತೂರ್ಯರಾವ,ತೂರ್ಯನಾದ
ತೂಳ,ಸ್ಥೂಲ ದಪ್ಪ
ತೂಲಿಕೆ,ಕುಂಚ ತುಪ್ಪುಳ
ತೂಳ್,ಹಿಮ್ಮೆಟ್ಟು ಚೆದುರಿ ಹೋಗು
ತೂಳಿಕೆ,ಬಣ್ಣ ಹಾಕುವ ಕುಂಚ
ತೂಳೆ,ತೂಲ ಹತ್ತಿ
ತೂಱು,ಜಳ್ಳನ್ನು ಗಾಳಿಯಿಂದ ಬೇರ್ಪಡಿಸು ತುಂತುರು ಬೀಳು
ತೂಱಿಕೊಳ್,ತೂರಿಕೊಳ್ಳು
ತೃಣ,ಹುಲ್ಲು ಸಮನಾದ
ತೃಣಕುಟಿ,ಹುಲ್ಲಿನ ಗುಡಿಸಲು ಪರ್ಣಶಾಲೆ
ತೃಣಗ್ರಾಹಿ,ನೀಲ ರತ್ನ
ತೃಣಪುರುಷ,ಬೆದರುಗೊಂಬೆ
ತೃಣಶರಣ,ಹುಲ್ಲಿನ ಗುಡಿಸಲು
ತೃಣಶಿಖರ,ಹುಲ್ಲಿನ ಮೊನೆ
ತೃಣಾಗ್ರ,ತೃಣಶಿಖರ
ತೃಣೀಕೃತ,ಹುಲ್ಲಿನಂತೆ ತುಚ್ಛವಾಗಿ ಪರಿಗಣಿತವಾದ
